position,person,personID,start,end
ambassador to Ethiopia,Fares al-qub,Q111016581,2021-11-25,
ambassador to the European Union,عبد الرحيم الفرا,Q102047791,2015-12-13,
ambassador to Finland,Taissir Aladjouri,Q101069269,2015-12-03,
ambassador to France,Leila Shahid,Q1963057,1993,2005
ambassador to France,Hind Khoury,Q2345173,2006-05-12,2010
ambassador to France,هائل الفاهوم,Q100151864,2010-06-09,2015
ambassador to France,Salman El Herfi,Q100342199,2015-11-10,2021
ambassador to France,Hala Abou Hassira,Q101755059,2021-11-04,
ambassador to the Gambia,عبد الرحيم الفرا,Q102047791,2009-11-12,2015
ambassador to the Gambia,Safwat Ibraghith,Q100997807,2016-01-14,2022-08-16
ambassador to Germany,Abdallah Frangi,Q307585,1993,2005
ambassador to Germany,هائل الفاهوم,Q100151864,2006,2010
ambassador to Germany,Salah Abdel Shafi,Q2213790,2010-08-18,2013
ambassador to Germany,Khouloud Daibes,Q431835,2013-07,2021
ambassador to Germany,Layth Arafa,Q110938885,2022,
ambassador to Ghana,Saadi Salama,Q47857932,2006,2009
ambassador to Ghana,رفيق أبو ضلفة,Q12213582,2009-12-21,2014
ambassador to Greece,مروان عبد الحميد,Q106798033,2004-05-13,
ambassador to Greece,سمير أبو غزالة,Q113573669,2006-01-11,2013
ambassador to Greece,Marwan Toubassi,Q98409208,2013-08,2021-12
ambassador to Guinea-Bissau,Safwat Ibraghith,Q100997807,2016-11-14,2022-08-16
ambassador to Guyana,عماد الجدع,Q106777205,1988,2005
ambassador to Guyana,Linda Sobeh,Q28530835,2016-11-09,
ambassador to Honduras,Muhammad Saadat,Q100708534,2013-09-20,
ambassador to Honduras,محمد عمرو,Q100723375,2016-05-04,
ambassador to Hungary,Hikmat Zaid,Q99826716,1994,
ambassador to Hungary,Antoinette Halas Sedin,Q101095038,2013-10-02,2018
ambassador to Hungary,Manuel Hassassian,Q6752623,2018,2019
ambassador to Iceland,ياسر النجار,Q99456390,2012-01-26,
ambassador to Iceland,Mufeed Shami,Q102177603,2014-05-20,2015
ambassador to Iceland,Antoinette Halas Sedin,Q101095038,2019-10-30,
